submission_pk,User,weighted avg score,Simple Loop,Sharp Loop,Loop with only roundabout,Loop with only merge,Loop with only intersections,loop with mixed sections,loop with all sections
675785,baseIine,0.43 (1),0.53 (1),0.42 (4),0.39 (2),0.40 (1),0.41 (1),0.43 (2),0.45 (1),
675009,cw233,0.32 (4),0.51 (2),0.30 (7),0.25 (6),0.20 (6),0.31 (4),0.31 (4),0.34 (4),
675586,BrotherZhi,0.40 (2),0.49 (3),0.34 (6),0.48 (1),0.32 (2),0.34 (2),0.47 (1),0.35 (3),
674376,qirenzhr,0.34 (3),0.44 (4),0.68 (1),0.31 (5),0.20 (7),0.23 (11),0.27 (7),0.32 (6),
673928,Guo-Youtian,0.23 (11),0.36 (5),0.55 (3),0.14 (11),0.16 (10),0.26 (8),0.17 (11),0.17 (14),
674447,guanda333,0.26 (8),0.35 (6),0.60 (2),0.13 (13),0.14 (12),0.30 (5),0.14 (13),0.25 (7),
675759,HuangXueqin,0.27 (6),0.32 (7),0.26 (10),0.32 (4),0.27 (3),0.24 (9),0.27 (6),0.24 (8),
674481,lixiaomu,0.25 (9),0.29 (8),0.22 (11),0.35 (3),0.16 (9),0.17 (12),0.35 (3),0.22 (11),
674612,ShengJiapeng,0.19 (13),0.26 (9),0.38 (5),0.12 (14),0.12 (13),0.12 (14),0.13 (14),0.20 (12),
674814,zgy,0.21 (12),0.25 (10),0.28 (9),0.14 (12),0.14 (11),0.27 (7),0.18 (10),0.22 (10),
672603,Ward,0.27 (7),0.23 (11),0.19 (14),0.17 (8),0.22 (4),0.24 (10),0.31 (5),0.34 (5),
674471,Guozhi,0.25 (10),0.23 (12),0.28 (8),0.22 (7),0.16 (8),0.34 (3),0.26 (9),0.24 (9),
675745,yulingfan,0.17 (14),0.21 (13),0.21 (13),0.15 (10),0.12 (14),0.15 (13),0.15 (12),0.19 (13),
674638,troye,0.28 (5),0.21 (14),0.22 (12),0.16 (9),0.22 (5),0.28 (6),0.27 (8),0.41 (2),
674241,caokaifa,0.08 (15),0.09 (15),0.08 (15),0.09 (15),0.07 (15),0.08 (15),0.08 (15),0.07 (15),
